id,roi,side,dice,kappa,accuracy,sensitivity,specificity
023,vc,left,0.7503,0.7001,0.9999,0.7001,1.0000
023,vc,right,0.7440,0.6762,0.9999,0.6763,1.0000
055,hc,left,0.9191,0.9264,0.9999,0.9264,0.9999
055,hc,right,0.9062,0.8793,0.9999,0.8794,1.0000
055,vc,left,0.7525,0.7679,0.9999,0.7679,0.9999
055,vc,right,0.7301,0.7520,0.9999,0.7521,0.9999
066,hc,left,0.9074,0.9065,0.9999,0.9066,0.9999
066,hc,right,0.9099,0.9105,0.9999,0.9105,0.9999
066,vc,left,0.8127,0.7508,0.9999,0.7508,1.0000
066,vc,right,0.7877,0.7661,0.9999,0.7662,1.0000
035,hc,left,0.8917,0.9248,0.9999,0.9249,0.9999
035,hc,right,0.8991,0.9486,0.9999,0.9486,0.9999
035,vc,left,0.7093,0.6668,0.9999,0.6668,0.9999
035,vc,right,0.7405,0.7300,0.9999,0.7301,0.9999
032,hc,left,0.9034,0.9085,0.9999,0.9086,0.9999
032,hc,right,0.9144,0.8957,0.9999,0.8957,1.0000
032,vc,left,0.7558,0.7626,0.9999,0.7627,0.9999
032,vc,right,0.7571,0.7913,0.9999,0.7914,0.9999
046,hc,left,0.8859,0.8732,0.9999,0.8733,0.9999
046,hc,right,0.9026,0.8919,0.9999,0.8919,1.0000
046,vc,left,0.7587,0.7522,0.9999,0.7522,0.9999
046,vc,right,0.7622,0.6864,0.9999,0.6864,1.0000
026,hc,left,0.8674,0.9047,0.9999,0.9048,0.9999
026,hc,right,0.9143,0.8871,0.9999,0.8871,1.0000
026,vc,left,0.7591,0.6707,0.9999,0.6707,1.0000
026,vc,right,0.7236,0.6601,0.9999,0.6602,1.0000
007,hc,left,0.9111,0.8635,0.9999,0.8636,1.0000
007,hc,right,0.9216,0.8949,0.9999,0.8950,1.0000
007,vc,left,0.7313,0.7791,0.9999,0.7791,0.9999
007,vc,right,0.7490,0.8350,0.9999,0.8350,0.9999
048,hc,left,0.9026,0.8896,0.9999,0.8896,1.0000
048,hc,right,0.9223,0.9327,0.9999,0.9328,1.0000
048,vc,left,0.7621,0.6817,0.9999,0.6818,1.0000
048,vc,right,0.7590,0.6679,0.9999,0.6679,1.0000
003,hc,left,0.8346,0.9371,0.9998,0.9372,0.9999
003,hc,right,0.8182,0.8727,0.9998,0.8727,0.9999
003,vc,left,0.7444,0.6148,0.9998,0.6149,1.0000
003,vc,right,0.6381,0.5181,0.9997,0.5182,1.0000
004,hc,left,0.8674,0.8216,0.9998,0.8217,1.0000
004,hc,right,0.8883,0.8439,0.9999,0.8440,1.0000
004,vc,left,0.6891,0.5636,0.9998,0.5637,1.0000
004,vc,right,0.7279,0.6570,0.9999,0.6570,1.0000
