id,roi,side,dice,kappa,accuracy,sensitivity,specificity
088,hc,right,0.8940,0.8779,0.9999,0.8780,1.0000
088,vc,left,0.7757,0.6928,0.9999,0.6929,1.0000
088,vc,right,0.7308,0.6528,0.9999,0.6529,1.0000
009,hc,left,0.9095,0.9005,0.9999,0.9006,1.0000
009,hc,right,0.9124,0.8985,0.9999,0.8986,1.0000
009,vc,left,0.7176,0.7485,0.9999,0.7486,0.9999
009,vc,right,0.7288,0.7216,0.9999,0.7217,0.9999
093,hc,left,0.9204,0.9246,0.9999,0.9246,1.0000
093,hc,right,0.9142,0.9149,0.9999,0.9149,0.9999
093,vc,left,0.7713,0.7202,0.9999,0.7203,1.0000
093,vc,right,0.7015,0.6350,0.9999,0.6351,1.0000
041,hc,left,0.9142,0.9127,0.9999,0.9128,0.9999
041,hc,right,0.9195,0.8980,0.9999,0.8980,1.0000
041,vc,left,0.8155,0.7639,0.9999,0.7639,1.0000
041,vc,right,0.7102,0.6152,0.9998,0.6153,1.0000
036,hc,left,0.8908,0.8819,0.9999,0.8820,0.9999
036,hc,right,0.8915,0.9181,0.9999,0.9181,0.9999
036,vc,left,0.7408,0.7601,0.9999,0.7602,0.9999
036,vc,right,0.6588,0.7491,0.9999,0.7492,0.9999
073,hc,left,0.9062,0.9114,0.9999,0.9114,0.9999
073,hc,right,0.8963,0.8804,0.9999,0.8804,0.9999
073,vc,left,0.7026,0.6610,0.9999,0.6611,0.9999
073,vc,right,0.6877,0.6315,0.9998,0.6316,0.9999
006,hc,left,0.8939,0.8516,0.9999,0.8516,1.0000
006,hc,right,0.8869,0.8595,0.9999,0.8596,1.0000
006,vc,left,0.7632,0.7248,0.9999,0.7249,1.0000
006,vc,right,0.7112,0.6573,0.9999,0.6573,1.0000
089,hc,left,0.9008,0.9072,0.9999,0.9072,0.9999
089,hc,right,0.9007,0.9065,0.9999,0.9065,0.9999
089,vc,left,0.6733,0.7414,0.9999,0.7414,0.9999
089,vc,right,0.6929,0.6756,0.9999,0.6756,0.9999
047,hc,left,0.9099,0.9058,0.9999,0.9059,1.0000
047,hc,right,0.9080,0.9040,0.9999,0.9040,1.0000
047,vc,left,0.7806,0.7079,0.9999,0.7080,1.0000
047,vc,right,0.7691,0.7220,0.9999,0.7221,1.0000
059,hc,left,0.9094,0.9123,0.9999,0.9123,0.9999
059,hc,right,0.9201,0.9015,0.9999,0.9015,1.0000
059,vc,left,0.6966,0.6217,0.9998,0.6218,0.9999
059,vc,right,0.7430,0.6802,0.9998,0.6803,1.0000
005,hc,left,0.8981,0.8467,0.9999,0.8468,1.0000
005,hc,right,0.9009,0.8805,0.9999,0.8806,1.0000
005,vc,left,0.7227,0.6451,0.9998,0.6452,1.0000
005,vc,right,0.7369,0.6466,0.9998,0.6467,1.0000
054,hc,left,0.8986,0.9275,0.9999,0.9275,0.9999
054,hc,right,0.8962,0.9145,0.9999,0.9146,0.9999
054,vc,left,0.7771,0.7132,0.9998,0.7133,0.9999
054,vc,right,0.7003,0.5830,0.9998,0.5832,1.0000
094,hc,left,0.8963,0.9135,0.9999,0.9135,0.9999
094,hc,right,0.9129,0.9130,0.9999,0.9130,0.9999
094,vc,left,0.7551,0.7203,0.9998,0.7204,0.9999
094,vc,right,0.7151,0.6809,0.9998,0.6810,0.9999
063,hc,left,0.9046,0.9031,0.9999,0.9032,0.9999
063,hc,right,0.9027,0.8789,0.9999,0.8790,1.0000
063,vc,left,0.7309,0.6721,0.9999,0.6722,1.0000
063,vc,right,0.7005,0.6829,0.9999,0.6830,0.9999
010,hc,left,0.9031,0.8807,0.9999,0.8808,1.0000
010,hc,right,0.8948,0.8851,0.9999,0.8851,0.9999
010,vc,left,0.7350,0.7490,0.9999,0.7491,0.9999
010,vc,right,0.6480,0.6720,0.9999,0.6721,0.9999
023,hc,left,0.8989,0.9177,0.9999,0.9178,0.9999
023,hc,right,0.8951,0.9126,0.9999,0.9126,0.9999
023,vc,left,0.8043,0.7798,0.9999,0.7798,1.0000
023,vc,right,0.7876,0.7598,0.9999,0.7598,1.0000
055,hc,left,0.9031,0.8842,0.9999,0.8843,0.9999
055,hc,right,0.9013,0.8649,0.9999,0.8650,1.0000
055,vc,left,0.7379,0.7311,0.9999,0.7311,0.9999
055,vc,right,0.7245,0.7676,0.9999,0.7676,0.9999
066,hc,left,0.9159,0.9369,0.9999,0.9369,0.9999
066,hc,right,0.8905,0.8807,0.9999,0.8807,0.9999
066,vc,left,0.7971,0.7448,0.9999,0.7448,1.0000
066,vc,right,0.7023,0.6218,0.9999,0.6219,1.0000
035,hc,left,0.9029,0.9222,0.9999,0.9222,0.9999
035,hc,right,0.9003,0.9221,0.9999,0.9221,0.9999
035,vc,left,0.7620,0.7153,0.9999,0.7154,1.0000
035,vc,right,0.7507,0.6900,0.9999,0.6901,1.0000
032,hc,left,0.8908,0.8887,0.9999,0.8887,0.9999
032,hc,right,0.9054,0.8834,0.9999,0.8835,1.0000
032,vc,left,0.6635,0.6005,0.9999,0.6005,1.0000
032,vc,right,0.6874,0.6208,0.9999,0.6209,1.0000
046,hc,left,0.8997,0.9545,0.9999,0.9545,0.9999
046,hc,right,0.9076,0.9070,0.9999,0.9070,0.9999
046,vc,left,0.7446,0.6760,0.9999,0.6761,1.0000
046,vc,right,0.7450,0.6500,0.9999,0.6501,1.0000
026,hc,left,0.9016,0.9362,0.9999,0.9363,0.9999
026,hc,right,0.9093,0.9089,0.9999,0.9089,1.0000
026,vc,left,0.7744,0.7336,0.9999,0.7337,0.9999
026,vc,right,0.7356,0.6850,0.9999,0.6851,1.0000
007,hc,left,0.9077,0.8767,0.9999,0.8768,1.0000
007,hc,right,0.8996,0.8644,0.9999,0.8645,1.0000
007,vc,left,0.7168,0.7272,0.9999,0.7273,0.9999
007,vc,right,0.6853,0.7335,0.9999,0.7335,0.9999
048,hc,left,0.9068,0.8978,0.9999,0.8979,1.0000
048,hc,right,0.8984,0.8954,0.9999,0.8954,0.9999
048,vc,left,0.7627,0.6946,0.9999,0.6947,1.0000
048,vc,right,0.7184,0.6411,0.9999,0.6411,1.0000
003,hc,left,0.8801,0.9011,0.9999,0.9012,0.9999
003,hc,right,0.8435,0.7902,0.9999,0.7903,1.0000
003,vc,left,0.8120,0.7755,0.9998,0.7756,0.9999
003,vc,right,0.6987,0.6212,0.9998,0.6213,0.9999
004,hc,left,0.8847,0.8192,0.9999,0.8193,1.0000
004,hc,right,0.8966,0.8575,0.9999,0.8576,1.0000
004,vc,left,0.7163,0.6230,0.9998,0.6231,1.0000
004,vc,right,0.7196,0.6390,0.9999,0.6391,1.0000
011,hc,left,0.8702,0.8518,0.9999,0.8519,0.9999
011,hc,right,0.8922,0.8828,0.9999,0.8829,1.0000
011,vc,left,0.7218,0.6776,0.9999,0.6776,1.0000
011,vc,right,0.6841,0.6898,0.9999,0.6899,0.9999
090,hc,left,0.9086,0.9040,0.9999,0.9040,0.9999
090,hc,right,0.9188,0.9171,0.9999,0.9171,1.0000
090,vc,left,0.7296,0.6456,0.9999,0.6457,1.0000
090,vc,right,0.7508,0.6764,0.9999,0.6765,1.0000
074,hc,left,0.8996,0.8843,0.9999,0.8843,1.0000
074,hc,right,0.9131,0.9053,0.9999,0.9053,1.0000
074,vc,left,0.7220,0.6520,0.9999,0.6520,1.0000
074,vc,right,0.7440,0.7150,0.9999,0.7151,0.9999
017,hc,left,0.8967,0.8699,0.9999,0.8700,0.9999
017,hc,right,0.8841,0.8508,0.9998,0.8509,0.9999
017,vc,left,0.7762,0.7792,0.9999,0.7792,0.9999
017,vc,right,0.7098,0.6901,0.9999,0.6902,0.9999
034,hc,left,0.9033,0.8680,0.9999,0.8681,1.0000
034,hc,right,0.9065,0.8865,0.9999,0.8865,1.0000
034,vc,left,0.8130,0.8163,0.9999,0.8164,1.0000
034,vc,right,0.7267,0.6635,0.9999,0.6636,1.0000
061,hc,left,0.8855,0.8500,0.9999,0.8501,1.0000
061,hc,right,0.9085,0.9206,0.9999,0.9207,0.9999
061,vc,left,0.6020,0.5363,0.9998,0.5364,0.9999
